External ID,Name,Internal Reference,Purchase,Sales,Track Inventory,Tracking,Sales Price,Sales Taxes,Cost,Purchase Taxes,Product Category,Unit of Measure,Purchase Unit,Invoicing Policy,Routes,Description,Sales Description,Purchase Description,eCommerce Description,Barcode,Weight (lb),Volume
,"OLIT HookaLit Pro 60K Puff Disposable E-Hookah - 60,000 Puffs - Blackcurrant Ice",KT911BI,TRUE,TRUE,TRUE,By Quantity,19.95,,10.63,,All / Saleable / Disposable E-Cig,Units,Units,Ordered quantities,Buy,,,,,6977855601819,0.41,
,"OLIT HookaLit Pro 60K Puff Disposable E-Hookah - 60,000 Puffs - Fcuking Fab",KT911FF,TRUE,TRUE,TRUE,By Quantity,19.95,,10.63,,All / Saleable / Disposable E-Cig,Units,Units,Ordered quantities,Buy,,,,,6977855601741,0.41,
,"OLIT HookaLit Pro 60K Puff Disposable E-Hookah - 60,000 Puffs - Gum Mint",KT911GM,TRUE,TRUE,TRUE,By Quantity,19.95,,10.63,,All / Saleable / Disposable E-Cig,Units,Units,Ordered quantities,Buy,,,,,6977855601758,0.41,
,"OLIT HookaLit Pro 60K Puff Disposable E-Hookah - 60,000 Puffs - Sweet Passionfruit",KT911SP,TRUE,TRUE,TRUE,By Quantity,19.95,,10.63,,All / Saleable / Disposable E-Cig,Units,Units,Ordered quantities,Buy,,,,,6977855601796,0.41,
,"OLIT HookaLit Pro 60K Puff Disposable E-Hookah - 60,000 Puffs - Two Apple",KT911TA,TRUE,TRUE,TRUE,By Quantity,19.95,,10.63,,All / Saleable / Disposable E-Cig,Units,Units,Ordered quantities,Buy,,,,,6977855601727,0.41,
,"OLIT HookaLit Pro 60K Puff Disposable E-Hookah - 60,000 Puffs - Watermelon Strawberry Melon",KT911WSM,TRUE,TRUE,TRUE,By Quantity,19.95,,10.63,,All / Saleable / Disposable E-Cig,Units,Units,Ordered quantities,Buy,,,,,6977855601734,0.41,
,"FIFTY BAR ""Black Series"" Powered by BEARD VAPE Co. 20K Puff Disposable Device - 20000 Puffs - Watermelon Strawberry Melon",KT910WSM,TRUE,TRUE,TRUE,By Quantity,12.95,,7.44,,All / Saleable / Disposable E-Cig,Units,Units,Ordered quantities,Buy,,,,,6978476940356,0.18,
,"FIFTY BAR ""Black Series"" Powered by BEARD VAPE Co. 20K Puff Disposable Device - 20000 Puffs - Butterbean",KT910B,TRUE,TRUE,TRUE,By Quantity,12.95,,7.44,,All / Saleable / Disposable E-Cig,Units,Units,Ordered quantities,Buy,,,,,850058810676,0.18,
,"FIFTY BAR ""Black Series"" Powered by BEARD VAPE Co. 20K Puff Disposable Device - 20000 Puffs - Cinnamon Funnel Cake",KT910CFC,TRUE,TRUE,TRUE,By Quantity,12.95,,7.44,,All / Saleable / Disposable E-Cig,Units,Units,Ordered quantities,Buy,,,,,850058810775,0.18,
,"FIFTY BAR ""Black Series"" Powered by BEARD VAPE Co. 20K Puff Disposable Device - 20000 Puffs - Gold Tobacco",KT910GT,TRUE,TRUE,TRUE,By Quantity,12.95,,7.44,,All / Saleable / Disposable E-Cig,Units,Units,Ordered quantities,Buy,,,,,850035543863,0.18,
,"FIFTY BAR ""Black Series"" Powered by BEARD VAPE Co. 20K Puff Disposable Device - 20000 Puffs - Milky Loops",KT910ML,TRUE,TRUE,TRUE,By Quantity,12.95,,7.44,,All / Saleable / Disposable E-Cig,Units,Units,Ordered quantities,Buy,,,,,850058810652,0.18,
,"FIFTY BAR ""Black Series"" Powered by BEARD VAPE Co. 20K Puff Disposable Device - 20000 Puffs - Raspberry Jam",KT910RJ,TRUE,TRUE,TRUE,By Quantity,12.95,,7.44,,All / Saleable / Disposable E-Cig,Units,Units,Ordered quantities,Buy,,,,,850058810805,0.18,
,"FIFTY BAR ""Black Series"" Powered by BEARD VAPE Co. 20K Puff Disposable Device - 20000 Puffs - Strawberry Cereal Donut Milk",KT910SCDM,TRUE,TRUE,TRUE,By Quantity,12.95,,7.44,,All / Saleable / Disposable E-Cig,Units,Units,Ordered quantities,Buy,,,,,850058810690,0.18,
