Handle,Title,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Barcode
mfu-shisha-x2-60k-puff-disposable-e-hookah-60-000-puffs,"MFU Shisha X2 60K Puff Disposable E-Hookah - 60,000 Puffs",Flavor,Blackcurrent Bomb,,,,,,,,KT916,113.3980925,
mfu-shisha-x2-60k-puff-disposable-e-hookah-60-000-puffs,,,Blue Razz Ice,,,,,,,,KT916,113.3980925,
mfu-shisha-x2-60k-puff-disposable-e-hookah-60-000-puffs,,,Cherry Lime,,,,,,,,KT916,113.3980925,
mfu-shisha-x2-60k-puff-disposable-e-hookah-60-000-puffs,,,Double Apple,,,,,,,,KT916,113.3980925,
mfu-shisha-x2-60k-puff-disposable-e-hookah-60-000-puffs,,,Fcuking Fab,,,,,,,,KT916,113.3980925,
mfu-shisha-x2-60k-puff-disposable-e-hookah-60-000-puffs,,,Grape Mint,,,,,,,,KT916,113.3980925,
mfu-shisha-x2-60k-puff-disposable-e-hookah-60-000-puffs,,,Gum Mint,,,,,,,,KT916,113.3980925,
mfu-shisha-x2-60k-puff-disposable-e-hookah-60-000-puffs,,,Lady Killer,,,,,,,,KT916,113.3980925,
mfu-shisha-x2-60k-puff-disposable-e-hookah-60-000-puffs,,,Love 66,,,,,,,,KT916,113.3980925,
mfu-shisha-x2-60k-puff-disposable-e-hookah-60-000-puffs,,,Magic Love,,,,,,,,KT916,113.3980925,
mfu-shisha-x2-60k-puff-disposable-e-hookah-60-000-puffs,,,Mango Pineapple,,,,,,,,KT916,113.3980925,
mfu-shisha-x2-60k-puff-disposable-e-hookah-60-000-puffs,,,Peach Ice,,,,,,,,KT916,113.3980925,
mfu-shisha-x2-60k-puff-disposable-e-hookah-60-000-puffs,,,Strawberry Ice,,,,,,,,KT916,113.3980925,
mfu-shisha-x2-60k-puff-disposable-e-hookah-60-000-puffs,,,Strawberry Watermelon,,,,,,,,KT916,113.3980925,
mfu-shisha-x2-60k-puff-disposable-e-hookah-60-000-puffs,,,Watermelon Ice,,,,,,,,KT916,113.3980925,
mfu-shisha-x2-60k-puff-disposable-e-hookah-60-000-puffs,,,,,,,,,,,,,
zour-stash-thc-a-hash-hole-2g-pre-rolls-single,Zour Stash THC-A Hash Hole 2g Pre Rolls - Single,Flavor,Berry Blast (indica),,,,,,,,CD416,226.796185,
zour-stash-thc-a-hash-hole-2g-pre-rolls-single,,,Bubblegum (Sativa),,,,,,,,CD416,226.796185,
zour-stash-thc-a-hash-hole-2g-pre-rolls-single,,,Cherry Lime (Hybrid),,,,,,,,CD416,226.796185,
zour-stash-thc-a-hash-hole-2g-pre-rolls-single,,,Electric Lemonade (Sativa),,,,,,,,CD416,226.796185,
zour-stash-thc-a-hash-hole-2g-pre-rolls-single,,,Sour Watermelon (Indica),,,,,,,,CD416,226.796185,
zour-stash-thc-a-hash-hole-2g-pre-rolls-single,,,Strawberry Punch (Hybrid),,,,,,,,CD416,226.796185,
